Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
221961,7165,0,90640,240051,0,19762,9800,18851,0,23319,0,0,0,7220,11958,70163,0,375699,265320,5138,40541,298614,11952,9451,324203,442408,425253,198888,0,82920,124963,0,48937,62155,84803,114868,521475,92820,29,672231,309057,5870,578950,73760,6229,173075,98808,605596,1666745,264246,6633,2008,35095,0,79109,487754,46734
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221961,7165,0,91604,241926,0,19858,9800,18851,0,23456,0,0,0,7220,11958,70736,0,376384,265923,5138,40541,298614,11989,9454,324203,442408,427468,198888,0,83154,124963,0,49544,62155,86110,115901,521475,93020,29,678264,311883,5870,578950,73760,6229,174706,99226,610796,1677588,265051,6719,2120,35276,0,80187,490043,46820
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221961,7165,0,92463,245096,0,19948,9800,18851,0,23554,0,0,0,7220,11958,71374,0,379277,266453,5215,40761,298614,12039,9455,324203,442408,429325,207769,0,83527,126504,0,50487,62937,87502,116502,521475,93173,29,684072,314236,5870,594320,73760,6229,176129,99379,614720,1697272,266752,6825,2120,35476,0,81248,491962,46908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221961,7165,0,93289,248238,0,20089,9800,18851,0,23632,0,0,0,7251,0,71374,0,382304,268931,5215,41009,298614,12071,9456,324203,442408,431096,207769,0,83825,127221,0,51645,63180,88982,117052,579573,93451,29,694905,319201,0,598433,73760,6445,177738,99887,624306,1711009,269487,6925,2120,35752,0,82330,494029,47583
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233211,7165,0,94237,251252,0,20190,9800,18851,0,24009,0,0,0,7274,0,72711,0,385183,270625,5302,41240,320025,12102,9457,324203,442408,432738,207769,0,84255,127221,0,52251,63562,89756,117882,579573,93658,29,704045,323240,0,610872,73760,6495,179632,100293,633428,1739136,272113,7020,2159,36103,0,83624,496297,47693
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
