Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
16734,987,0,25212,9437,77933,10659,9554,2424,0,1255,63158,31997,3,274,1126,4274,31532,20308,8201,7163,12518,15137,1658,12718,20939,30709,11111,10625,16822,2945,3540,8627,2079,30119,6145,62073,19903,2092,21,34406,12775,5883,38619,3520,3188,14914,2559,21634,77221,3951,497,91,15814,10196,5535,11712,1588
6121,229,0,11265,4343,33276,5386,6670,1210,0,857,24274,12360,3,125,322,1607,20118,10670,4324,3540,3167,8253,514,6596,13705,14686,6007,5524,6530,1093,1842,3784,933,20458,2958,40991,8083,1406,2,16106,2994,1803,19411,1703,2187,6248,1667,8430,32711,1500,163,24,5739,3903,1784,5926,522
16734,987,0,25395,9452,78008,10662,9564,2424,0,1260,63455,32030,3,274,1126,4282,31783,20385,8201,7163,12614,15195,1658,12786,21000,30709,11140,10642,16846,2957,3543,8653,2085,30170,6177,62407,20000,2093,21,34544,12888,5892,38655,3542,3200,15015,2559,21731,77362,3979,499,94,15822,10230,5561,11755,1601
6126,230,0,11266,4386,33646,5388,6682,1219,0,861,24436,12572,3,128,324,1637,20153,10720,4332,3540,3194,8324,519,6650,13749,14702,6013,5574,6543,1093,1842,3792,938,20512,2975,41184,8139,1408,2,16209,3037,1808,19494,1703,2199,6259,1667,8470,33032,1507,163,24,5798,3940,1815,5973,550
16756,1051,0,25416,9462,78096,10726,9670,2440,0,1263,63458,32072,3,276,1126,4292,31943,20500,8317,7293,12639,15246,1688,12866,21208,31275,11177,10690,16996,2964,3548,8687,2109,30315,6205,62672,20037,2102,21,34688,12927,5908,38767,3563,3215,15029,2573,21800,77515,3997,507,94,15835,10230,5576,11825,1601
6283,253,0,11528,4441,34304,5422,6726,1228,0,863,24578,12778,3,128,325,1635,20285,10786,4394,3594,3243,8383,530,6689,13829,14770,6047,5638,6742,1094,1862,3863,950,20664,3009,41399,8200,1409,2,16308,3085,1832,19881,1717,2223,6328,1667,8556,33491,1517,165,24,5861,3940,1836,6035,550
16792,1051,0,25429,9470,78302,10768,9683,2450,0,1263,63569,32206,3,276,1135,4317,32141,20637,8317,7293,12659,15283,1691,12943,21295,31275,11255,10707,17025,2966,3562,8708,2123,30476,6229,62873,20108,2107,21,34825,12927,5916,39093,3593,3224,15053,2582,21938,77698,4019,507,94,15853,10339,5590,11867,1601
6379,254,0,11772,4496,34990,5440,6774,1241,0,864,24739,12889,3,128,328,1654,20423,10837,4445,3594,3301,8442,536,6735,13906,14933,6079,5668,6778,1100,1868,3910,962,20760,3044,41599,8339,1422,2,16408,3140,1843,20136,1732,2232,6373,1673,8684,33942,1547,168,24,5940,4065,1849,6090,550
16824,1051,0,25502,9484,78477,10800,9769,2457,0,1267,63763,32294,3,276,1137,4323,32278,20751,8317,7320,12687,15324,1693,13022,21401,31499,11291,10721,17241,2976,3569,8735,2135,30618,6258,63098,20193,2114,21,34961,12968,5936,39362,3631,3240,15108,2601,22056,77894,4030,514,95,15852,10401,5609,11946,1601
6486,254,0,12001,4549,35498,5462,6819,1252,0,867,25011,13060,3,128,332,1667,20534,10903,4478,3616,3337,8483,540,6792,13987,14951,6100,5713,6823,1104,1878,3958,971,20875,3077,41786,8464,1428,2,16529,3187,1865,20340,1761,2248,6404,1684,8777,34381,1571,169,24,6002,4114,1856,6135,571
