nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_03045	19	6	2	5	25	13	17	16	104	44	74
NC101_03046	6	0	0	3	28	6	28	38	151	61	90
NC101_03047	3	1	0	1	26	4	36	14	134	59	44
NC101_03048	0	0	0	0	3	3	3	5	47	24	4
NC101_03049	5	0	0	3	14	2	9	14	81	44	18
NC101_03050	3	0	0	0	21	15	32	33	160	73	22
NC101_03051	2	0	0	6	18	7	21	9	152	65	12
NC101_03052	4	0	2	4	8	7	17	5	190	91	12
NC101_03053	0	0	0	1	1	2	15	7	56	20	7
NC101_03054	34	9	2	17	45	49	83	60	418	221	25
NC101_03055	0	0	0	4	14	9	27	18	152	103	7
NC101_03056	8	0	3	2	20	16	35	25	201	134	16
NC101_03057	18	3	5	7	81	35	100	76	518	335	33
NC101_03058	6	0	2	3	23	12	51	34	244	162	18
NC101_03059	6	0	0	0	20	7	42	34	138	110	8
NC101_03060	18	2	0	0	55	10	25	27	100	34	23
NC101_03061	7	12	3	15	102	29	82	66	200	94	7
NC101_03062	41	14	13	38	147	68	182	163	399	275	32
NC101_03063	74	10	10	39	157	64	160	154	341	266	18
NC101_03064	49	14	0	26	122	20	126	89	208	219	17
NC101_03065	57	11	6	30	201	77	174	140	270	302	57
NC101_03066	111	34	24	95	274	163	119	93	301	297	80
NC101_03067	9	6	0	11	47	8	45	19	54	54	46
NC101_03068	0	0	0	1	9	6	14	6	7	10	50
NC101_03069	1	3	0	0	39	8	14	24	21	28	40
NC101_03070	6	5	1	9	66	15	61	56	40	49	68
NC101_03071	45	4	3	13	138	30	85	78	95	60	52
NC101_03072	2604	220	283	1060	4243	1875	5540	4558	6545	6644	2587
NC101_03073	300	35	49	137	678	271	899	585	1112	1134	859
NC101_03074	171	10	22	74	374	109	339	338	410	537	107
NC101_03075	30	2	5	10	73	11	83	64	65	104	23
NC101_03076	112	8	12	51	400	121	378	260	388	497	128
NC101_03077	105	5	7	31	328	98	420	233	408	433	154
NC101_03078	553	68	64	192	1333	393	1601	992	1731	1822	564
NC101_03079	382	26	37	103	641	236	885	530	865	1133	307
NC101_03080	673	82	86	254	1276	461	1231	735	1311	1490	638
NC101_03081	665	88	94	385	1032	640	1370	749	1444	1492	757
NC101_03082	107	11	17	28	178	46	213	131	209	266	216
NC101_03083	150	15	21	55	245	124	231	112	278	296	250
NC101_03084	608	48	74	144	840	384	890	473	899	1095	748
NC101_03085	254	93	43	213	782	360	668	447	1074	1137	1155
NC101_03086	102	37	14	61	313	126	281	197	435	370	81
NC101_03087	84	16	9	28	229	61	164	103	240	241	67
NC101_03088	360	87	56	140	568	298	547	392	1045	724	97
NC101_03089	28	10	10	31	115	55	144	108	210	157	51
NC101_03090	76	27	12	73	192	121	229	93	335	249	210
NC101_03092	47	31	2	47	159	87	97	65	185	164	208
NC101_03094	37	9	6	21	51	18	51	36	94	58	271
NC101_03095	13	2	2	8	39	11	34	11	42	33	231
NC101_03097	25	12	5	32	259	50	390	179	403	340	1052
NC101_03098	104	20	17	60	212	97	172	146	329	289	99
NC101_03099	27	15	4	24	130	54	100	80	265	158	109
NC101_03100	4	2	1	2	8	1	5	2	15	7	218
NC101_03101	12	6	2	5	13	8	10	9	12	12	58
NC101_03102	31	10	5	45	98	46	34	21	98	67	272
NC101_03103	0	0	0	2	2	2	4	2	6	0	185
NC101_03104	7	0	0	4	20	10	31	15	32	50	58
NC101_03105	8	4	0	4	2	6	12	1	6	5	23
NC101_03106	0	0	0	0	2	0	4	5	0	1	13
NC101_03107	9	1	0	1	8	2	2	1	4	4	17
NC101_03108	17	10	2	10	61	44	49	20	54	71	128
NC101_03109	22	1	3	6	40	18	22	16	48	29	116
NC101_03110	4	0	0	5	10	6	16	7	30	29	19
NC101_03111	0	0	0	8	24	7	10	10	16	14	20
NC101_03112	1	3	0	5	8	15	7	5	21	22	30
NC101_03113	3	0	0	2	9	5	0	0	5	4	10
NC101_03114	8	0	0	3	39	20	32	21	36	27	14
NC101_03115	110	46	14	128	346	192	208	117	465	405	387
NC101_03117	143	47	22	54	231	57	329	190	437	338	450
NC101_03119	33	9	6	17	73	53	82	42	182	132	153
NC101_03120	0	0	0	0	0	0	0	0	0	0	52
NC101_03121	0	0	0	0	0	2	2	0	0	0	53
NC101_03122	0	0	0	0	3	1	0	0	0	2	40
NC101_03123	2	0	0	0	0	0	0	4	0	0	34
NC101_03124	5	2	2	6	33	20	24	19	53	47	13
NC101_03125	11	7	6	20	54	23	74	43	147	105	51
NC101_03126	0	0	0	0	0	0	0	0	0	0	64
NC101_03127	4	0	2	2	23	4	43	13	38	24	162
NC101_03128	2	0	0	1	4	4	1	2	4	2	114
NC101_03129	37	16	6	44	108	58	114	55	173	166	78
NC101_03130	28	19	6	22	188	19	188	82	163	230	179
NC101_03131	0	0	0	0	7	0	5	5	1	7	6
NC101_03132	0	0	0	0	1	0	8	1	0	2	7
NC101_03133	0	0	0	0	0	0	9	4	0	4	29
NC101_03134	1	0	0	3	10	1	2	2	8	6	25
NC101_03135	0	2	0	0	2	3	1	1	6	2	13
NC101_03136	7	2	0	0	37	2	41	13	29	28	128
NC101_03137	10	3	0	3	44	5	25	29	58	41	32
NC101_03138	10	12	7	23	78	15	221	130	236	278	294
NC101_03139	5	2	0	0	11	8	6	8	26	10	208
NC101_03140	0	0	0	0	0	0	0	0	0	0	77
NC101_03141	0	1	0	2	4	0	4	0	4	3	0
NC101_03142	4	4	0	0	24	10	11	3	17	14	16
NC101_03143	42	5	1	18	197	33	147	123	175	200	90
NC101_03144	56	17	7	30	221	67	251	140	312	231	32
NC101_03145	0	4	5	5	7	2	18	11	38	25	155
NC101_03146	24	8	5	10	23	22	42	24	55	80	22
NC101_03147	25	7	5	4	32	8	87	34	81	153	19
NC101_03148	51	7	13	2	20	6	153	40	143	228	16
NC101_03149	5	2	4	6	47	16	89	31	90	85	39
NC101_03150	11	4	8	6	34	4	67	48	72	80	104
NC101_03151	312	114	39	109	843	197	99	65	220	212	118
NC101_03152	130	40	23	116	242	113	145	80	250	165	87
NC101_03153	0	0	0	0	0	0	2	0	0	0	8
NC101_03154	15	2	3	14	46	22	86	54	157	133	103
NC101_03155	20	2	4	10	100	19	168	67	269	225	115
NC101_03156	4	0	0	3	5	7	15	6	35	48	30
NC101_03157	16	1	0	4	20	4	32	46	106	95	37
NC101_03158	51	16	7	42	134	64	121	87	294	213	102
NC101_03159	32	18	7	24	235	59	48	48	396	168	30
NC101_03160	59	22	5	54	194	71	121	79	314	237	986
NC101_03161	21	15	5	46	118	41	60	46	127	122	571
NC101_03162	518	279	80	526	532	392	223	189	549	353	489
