nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_01219	18	4	2	24	143	35	83	40	53	94	64
NC101_01220	36	9	4	39	228	63	89	74	165	147	55
NC101_01221	43	11	0	27	164	48	45	69	139	109	33
NC101_01222	10	5	2	15	90	25	32	37	64	72	13
NC101_01223	114	23	13	58	245	82	153	122	300	182	42
NC101_01224	59	20	14	41	116	42	105	103	339	301	87
NC101_01225	26	7	0	16	166	57	151	94	315	262	96
NC101_01226	31	6	0	28	82	26	49	31	147	133	48
NC101_01227	761	482	74	283	246	335	238	198	561	331	24
NC101_01228	481	221	9	69	86	11	8	10	19	19	16
NC101_01229	470	237	7	63	73	4	14	13	11	21	19
NC101_01230	61	33	4	20	16	4	7	6	25	9	4
NC101_01231	217	120	4	69	112	56	44	31	118	83	42
NC101_01232	30	33	4	8	53	18	17	10	32	33	21
NC101_01233	782	506	57	329	1001	260	1441	484	239	502	63
NC101_01234	450	205	33	173	401	170	533	221	278	257	18
NC101_01235	171	54	11	46	639	159	615	370	914	802	66
NC101_01236	116	35	14	73	475	90	581	285	624	624	74
NC101_01237	40	10	2	21	64	29	86	72	214	135	23
NC101_01238	11	8	2	4	60	11	89	30	104	125	8
NC101_01239	85	18	12	43	304	66	592	271	560	639	94
NC101_01240	258	104	49	173	736	271	1497	862	1993	1707	504
NC101_01241	24	4	2	10	41	12	62	43	123	96	24
NC101_01242	47	5	4	17	53	33	68	53	133	102	28
NC101_01243	81	32	11	31	529	67	748	355	899	786	190
NC101_01244	24	8	7	27	111	39	125	71	155	139	87
NC101_01245	56	11	8	17	72	29	11	9	32	12	39
NC101_01246	10	6	1	3	38	8	8	3	23	8	91
NC101_01247	0	0	0	7	23	6	9	6	20	11	92
NC101_01248	2	2	2	3	19	6	9	0	12	9	107
NC101_01249	2	0	0	1	10	0	0	2	9	2	22
NC101_01250	0	0	0	0	16	5	0	0	2	12	9
NC101_01251	1	0	0	0	4	0	0	0	3	3	0
NC101_01252	22	9	0	16	37	25	24	19	51	26	16
NC101_01253	366	280	33	103	578	266	445	269	738	559	62
NC101_01254	82	84	11	46	232	59	183	100	318	277	111
NC101_01255	117	78	16	69	273	115	274	161	361	351	79
NC101_01256	60	23	8	47	259	83	226	134	344	287	110
NC101_01257	42	8	6	16	134	20	177	67	228	166	79
NC101_01258	237	64	5	69	376	113	934	724	721	566	134
NC101_01266	159	22	24	110	193	132	149	101	313	266	78
NC101_01267	92	51	6	41	231	38	379	157	550	489	70
NC101_01268	228	83	36	217	656	260	301	130	492	465	213
NC101_01269	107	15	16	90	285	118	140	92	258	193	69
NC101_01270	267	82	23	187	557	226	493	265	590	529	143
NC101_01271	32	14	2	18	179	43	198	96	211	232	198
NC101_01272	11	4	1	16	30	12	32	40	70	73	74
NC101_01273	2	2	0	1	24	16	28	47	62	55	114
NC101_01274	170	42	27	48	70	107	446	545	2579	1317	174
NC101_01275	14	9	3	10	27	18	56	83	377	221	59
NC101_01276	6	10	0	6	14	7	73	116	392	217	87
NC101_01277	16	7	2	4	30	10	131	128	667	364	87
NC101_01278	209	49	17	81	384	131	386	234	637	500	181
NC101_01279	867	329	127	310	600	454	418	252	959	611	60
NC101_01280	242	85	25	148	1041	231	1268	674	1562	1515	556
NC101_01281	75	19	8	37	295	78	327	197	476	402	153
NC101_01282	59	19	6	31	212	51	298	148	333	320	85
NC101_01283	6	5	3	9	81	34	138	74	173	185	77
NC101_01284	6	1	0	10	52	11	99	46	129	125	90
NC101_01285	11	4	2	8	101	9	181	99	267	224	29
NC101_01286	6	4	2	2	39	7	105	35	123	144	25
NC101_01287	28	13	0	23	146	40	456	154	471	439	195
NC101_01288	17	13	2	9	73	22	190	97	225	270	64
NC101_01289	35	10	3	13	128	39	275	167	374	327	104
NC101_01290	33	10	4	26	141	31	475	269	657	748	181
NC101_01291	209	48	23	128	286	160	233	83	406	344	203
NC101_01292	11	6	3	8	54	18	56	14	75	79	206
NC101_01293	3	4	0	9	15	8	29	13	53	39	53
NC101_01294	103	20	19	44	234	88	734	345	742	689	159
NC101_01295	414	142	66	134	735	227	672	433	1126	1007	40
NC101_01296	60	37	2	68	148	95	36	24	102	50	8
NC101_01297	42	12	2	33	112	50	44	29	153	91	19
NC101_01298	1	2	0	2	47	2	12	9	22	20	40
NC101_01299	46	10	3	26	186	39	63	42	91	71	74
NC101_01300	24	2	0	6	55	8	40	14	59	22	28
NC101_01301	46	12	2	19	113	30	74	44	123	86	144
NC101_01302	44	31	4	68	79	71	68	47	118	86	45
NC101_01303	0	0	0	1	5	3	0	0	4	0	0
NC101_01304	0	0	0	5	10	3	5	6	13	6	10
NC101_01305	5	4	9	6	21	6	5	2	12	10	5
NC101_01306	8	1	0	3	12	16	0	0	1	0	0
NC101_01307	7	0	2	1	7	1	4	0	3	1	7
NC101_01308	19	0	2	6	18	21	22	16	45	21	19
NC101_01309	42	22	9	42	164	67	127	88	259	239	46
NC101_01310	65	17	13	64	213	85	200	131	467	332	19
NC101_01311	2705	837	433	991	1341	1460	932	874	2325	1536	93
NC101_01312	214	76	24	157	1374	212	632	429	930	862	350
NC101_01313	1290	396	184	488	3312	832	1573	890	2479	2023	557
NC101_01314	15	9	1	8	76	19	57	18	115	94	237
NC101_01315	8	2	0	1	13	4	1	10	22	17	83
NC101_01316	12	2	2	7	21	15	11	10	28	26	106
NC101_01317	5	2	0	0	17	0	9	9	25	12	34
NC101_01318	13	6	1	8	32	11	11	7	29	25	90
NC101_01319	30	18	4	22	64	40	34	26	121	97	71
NC101_01320	43	19	19	41	49	61	48	21	87	69	7
NC101_01321	178	74	30	48	126	129	413	277	1132	605	70
NC101_01322	25	0	1	6	20	8	27	12	60	52	16
NC101_01323	2	0	1	0	14	16	23	22	63	60	42
NC101_01324	2	0	0	1	8	1	35	19	86	99	45
NC101_01325	2	4	0	3	5	0	72	19	111	152	89
NC101_01326	4	0	0	2	5	4	99	37	164	136	66
NC101_01327	0	0	2	2	14	5	116	36	174	159	79
NC101_01328	0	0	0	0	11	4	30	10	59	70	49
NC101_01329	4	2	0	2	4	4	78	41	186	141	148
NC101_01330	23	7	0	15	7	22	42	18	96	68	81
NC101_01331	0	1	1	0	2	0	32	24	47	81	59
NC101_01332	1	2	0	2	8	0	13	25	43	32	180
NC101_01333	33	6	2	12	94	47	185	115	331	336	158
NC101_01334	0	0	0	0	0	0	11	3	7	3	1
NC101_01335	2	0	0	0	4	1	40	13	80	88	47
NC101_01336	11	5	6	10	30	17	175	99	515	399	53
NC101_01337	7	3	2	11	36	7	28	31	96	78	53
NC101_01338	23	2	6	10	24	7	7	3	20	12	2
NC101_01339	4	3	0	3	12	5	5	2	8	7	19
NC101_01340	62	32	9	62	258	108	58	54	189	167	170
NC101_01341	12	2	0	11	32	21	60	23	89	83	39
NC101_01342	31	12	2	44	89	36	77	52	131	83	82
NC101_01343	82	30	12	20	182	63	181	94	276	226	126
NC101_01344	51	20	11	13	90	36	175	88	186	165	71
NC101_01345	40	10	9	25	76	24	200	64	247	182	80
NC101_01346	16	3	2	6	37	14	65	16	38	40	84
NC101_01347	2	2	0	0	3	1	29	0	5	7	8
NC101_01348	2	1	0	0	2	2	25	2	4	8	10
NC101_01349	16	4	2	6	13	10	25	12	15	14	56
NC101_01350	10	6	0	9	25	13	62	22	58	32	16
NC101_01351	6	4	0	12	61	13	79	39	108	90	55
NC101_01352	17	12	8	18	101	39	79	44	176	101	57
NC101_01353	48	11	0	29	133	70	105	78	186	138	104
NC101_01354	13	2	4	9	32	19	35	26	46	34	84
NC101_01355	32	10	4	21	37	13	24	14	46	31	56
NC101_01356	40	4	5	7	42	12	42	26	73	41	27
NC101_01357	9	16	8	33	81	50	85	33	136	104	40
NC101_01359	105	34	25	76	295	81	437	225	575	458	136
NC101_01360	20	5	2	7	37	17	36	12	45	44	32
NC101_01361	10	0	0	2	14	5	14	6	19	22	31
NC101_01362	26	14	2	16	134	36	289	125	397	299	109
NC101_01363	93	19	13	32	518	74	620	319	947	700	71
NC101_01364	10	0	0	5	68	12	99	47	113	116	15
NC101_01365	2	0	0	2	9	1	7	4	9	7	7
NC101_01366	15	6	2	4	13	25	350	142	403	364	14
NC101_01367	31	7	2	5	71	26	588	246	743	755	47
NC101_01368	1	0	0	0	10	5	18	4	14	14	15
NC101_01369	7	0	0	4	22	2	2	4	9	0	2
NC101_01370	4	5	0	0	37	9	6	4	10	7	11
NC101_01371	9	0	0	2	55	4	3	6	9	6	19
NC101_01372	3	2	0	0	36	4	14	6	20	20	13
NC101_01373	9	0	0	10	78	14	34	36	52	37	19
NC101_01374	18	2	2	3	68	11	23	16	58	39	15
NC101_01375	2	1	0	11	20	4	6	5	26	11	10
NC101_01376	2	2	0	0	21	4	5	4	17	10	10
NC101_01377	472	45	69	55	307	298	93	33	440	237	48
NC101_01378	36	5	5	3	83	30	9	6	38	11	22
NC101_01379	17	0	0	0	86	28	10	2	58	19	23
NC101_01380	3	0	0	2	46	20	2	7	17	15	28
NC101_01381	12	0	0	5	111	20	9	18	47	20	19
NC101_01382	569	330	80	370	538	388	357	225	646	477	83
NC101_01383	9	7	0	0	33	11	8	7	21	5	53
NC101_01384	13	4	0	4	29	25	14	14	18	25	60
NC101_01385	41	5	4	17	119	45	84	48	182	87	97
NC101_01386	37	5	2	12	71	21	176	81	280	258	172
NC101_01387	3	1	2	4	25	14	62	15	75	91	72
NC101_01388	85	20	5	23	81	37	238	139	330	296	127
NC101_01389	9	5	0	6	40	15	44	53	87	88	92
NC101_01390	176	19	7	39	408	92	175	136	386	359	211
NC101_01391	19	6	0	12	114	32	39	26	63	81	159
NC101_01392	25	5	4	16	65	38	44	33	98	71	190
NC101_01393	190	48	23	141	258	222	210	122	400	349	268
NC101_01394	97	20	17	60	96	98	73	38	164	122	156
NC101_01395	2	1	2	7	24	8	15	10	25	12	72
NC101_01396	19	15	6	51	226	58	54	27	92	102	216
NC101_01397	60	33	7	77	499	116	42	21	105	96	134
NC101_01398	64	24	11	304	1696	397	46	34	133	160	298
NC101_01399	63	13	5	321	1873	291	14	14	99	99	319
NC101_01400	396	77	40	120	1177	368	631	304	1075	1026	557
NC101_01401	15	8	2	8	24	10	26	7	59	50	211
NC101_01402	31	8	4	17	117	55	91	66	138	119	82
NC101_01403	14	2	2	3	45	10	20	22	40	39	59
NC101_01404	11	6	0	8	49	8	13	12	32	46	76
NC101_01405	5	2	2	3	22	10	26	10	24	30	75
NC101_01406	180	63	18	85	507	128	270	200	778	566	120
NC101_01407	14	5	0	12	48	19	33	28	97	66	63
NC101_01408	47	33	11	60	127	66	309	171	434	414	432
NC101_01409	20	18	3	15	113	28	222	102	274	280	546
NC101_01410	45	12	4	20	109	42	67	42	92	85	271
NC101_01411	38	14	2	41	150	82	82	52	148	148	246
NC101_01412	106	28	8	42	398	79	929	577	1763	1406	244
NC101_01413	691	89	49	131	1955	279	560	264	1080	1197	533
NC101_01414	20	11	3	15	121	32	249	96	253	228	86
NC101_01415	92	35	7	55	236	82	364	156	438	392	62
NC101_01416	56	16	3	38	389	53	630	320	844	799	268
NC101_01417	38	32	2	31	184	51	615	209	581	495	119
NC101_01418	14	0	0	5	31	15	76	68	160	158	58
NC101_01419	10	6	0	6	91	19	57	27	71	60	30
NC101_01420	9	0	1	5	16	9	17	8	25	44	9
NC101_01421	83	43	7	33	407	87	681	306	874	790	442
NC101_01422	37	13	4	32	147	51	197	141	369	404	125
NC101_01423	167	46	31	86	337	153	810	485	1120	1189	218
NC101_01424	402	81	26	86	632	206	1362	809	1830	1782	357
NC101_01425	301	110	53	302	301	296	461	362	925	686	170
NC101_01426	136	32	23	113	174	146	327	231	482	536	453
NC101_01427	48	22	5	35	144	49	272	110	378	379	726
NC101_01428	28	20	7	60	79	43	150	67	192	211	543
NC101_01429	80	31	8	42	201	62	74	58	199	117	907
NC101_01430	9	8	6	10	56	10	44	7	78	56	165
NC101_01431	10	4	4	8	45	15	28	9	46	45	132
NC101_01432	117	31	19	48	354	65	494	156	723	1099	458
NC101_01433	43	12	7	27	96	27	149	76	358	229	160
NC101_01434	49	12	13	17	100	34	92	64	214	144	72
NC101_01435	8	0	0	0	13	8	2	5	19	13	24
NC101_01436	72	12	2	27	161	52	208	110	236	210	113
NC101_01437	32	15	4	27	131	48	196	124	266	252	108
NC101_01438	109	28	11	81	123	100	100	48	152	144	32
NC101_01439	774	127	94	250	448	204	1299	1094	1833	1717	134
NC101_01440	86	29	10	35	117	85	79	51	104	78	59
NC101_01441	35	11	1	21	161	38	153	91	365	241	38
NC101_01442	51	35	5	34	43	25	65	62	705	193	45
NC101_01443	46	8	9	4	38	29	25	25	85	61	11
NC101_01444	205	85	16	92	1137	193	1611	803	2059	1801	193
NC101_01445	1712	407	258	357	1845	812	1319	757	2385	1479	117
NC101_01446	585	117	66	188	1973	326	1265	696	2238	2251	624
NC101_01447	1455	466	204	955	1951	1060	1446	856	2154	2226	529
NC101_01448	360	127	43	420	891	502	637	479	1241	1132	261
NC101_01449	267	66	30	138	1087	226	3931	2176	5423	5049	381
NC101_01450	24	7	4	9	125	8	239	104	272	241	53
NC101_01451	23	4	1	4	62	10	127	54	128	155	124
NC101_01452	79	47	34	47	113	95	1931	1014	3118	3011	164
NC101_01453	132	78	39	55	185	103	2359	1503	3944	4366	270
NC101_01454	50	16	10	21	54	31	643	361	1083	1165	87
NC101_01455	50	15	11	31	59	30	497	325	971	913	48
NC101_01456	101	50	25	46	140	79	1167	651	2166	2014	114
NC101_01457	28	19	0	15	127	30	129	49	188	193	94
NC101_01458	103	35	9	51	448	75	388	133	436	294	46
NC101_01459	97	41	24	104	221	134	128	91	260	236	46
NC101_01460	34	2	3	23	66	52	65	33	120	86	11
NC101_01461	41	19	5	30	166	56	380	176	410	487	115
NC101_01462	19	6	0	17	70	31	121	51	149	162	18
NC101_01463	42	16	11	33	200	52	298	130	276	339	88
NC101_01464	42	25	2	14	260	58	444	209	509	564	123
NC101_01465	69	26	6	28	255	73	115	88	305	256	98
NC101_01466	15	4	2	22	61	31	94	57	92	114	34
NC101_01467	11	7	2	7	98	30	160	62	139	158	79
NC101_01468	122	31	7	60	306	101	518	215	496	484	71
NC101_01469	67	17	5	37	237	50	379	191	424	438	68
NC101_01470	38	16	10	30	196	63	277	139	394	419	113
NC101_01471	23	9	4	38	122	63	121	65	202	233	59
NC101_01472	17	9	2	8	55	21	76	16	94	86	24
NC101_01473	387	106	25	187	975	316	1073	498	948	1230	106
NC101_01474	142	17	6	49	152	51	156	81	271	125	12
NC101_01475	142	23	13	43	286	124	548	297	616	544	79
NC101_01476	97	41	10	38	517	90	1144	525	1215	1269	125
NC101_01477	79	21	14	49	327	60	719	346	893	731	42
NC101_01478	52	25	7	33	185	74	971	352	1070	1027	74
NC101_01479	18	6	0	15	83	18	266	113	325	303	26
NC101_01480	6	8	2	4	43	10	35	16	30	60	11
NC101_01481	32	7	4	10	63	16	121	78	158	84	33
NC101_01482	56	24	4	22	132	48	191	80	219	250	42
NC101_01483	166	61	13	95	357	136	213	159	468	394	84
NC101_01484	48	4	4	17	104	55	59	37	122	81	41
NC101_01485	43	6	8	24	69	26	46	23	68	87	23
NC101_01486	24	5	6	23	98	37	107	44	168	134	35
NC101_01487	61	17	9	20	186	49	242	137	299	281	146
NC101_01488	121	35	10	82	269	140	146	82	258	180	88
NC101_01489	290	50	36	74	262	128	119	55	183	131	62
NC101_01490	37	14	2	24	88	29	252	86	311	262	138
NC101_01491	10	2	2	9	28	9	25	14	27	54	52
NC101_01492	105	22	10	20	82	47	143	133	343	294	189
NC101_01493	7	15	1	14	66	18	46	21	94	95	342
NC101_01494	57	26	8	56	214	66	240	116	443	447	112
NC101_01495	8	3	2	6	61	14	84	70	113	151	129
NC101_01496	46	11	8	34	131	72	113	68	189	162	23
NC101_01497	67	21	0	10	132	35	116	57	216	170	25
NC101_01498	26	6	2	10	39	14	23	18	64	48	61
NC101_01499	89	39	24	51	173	53	38	40	269	126	25
NC101_01500	23	7	1	25	118	21	101	90	505	407	94
NC101_01501	48	23	10	67	286	87	420	325	1345	783	89
NC101_01502	119	45	18	44	515	117	555	328	951	838	156
NC101_01503	34	10	4	32	64	51	98	88	260	145	14
NC101_01504	17	0	2	6	17	9	62	14	42	51	16
NC101_01505	54	21	6	36	151	71	102	44	184	165	18
NC101_01506	36	13	2	22	73	44	97	41	186	156	42
NC101_01507	11	1	0	8	22	18	21	5	36	24	10
NC101_01508	75	30	10	50	212	54	151	112	271	203	21
NC101_01509	4	7	0	8	21	5	0	0	2	2	17
NC101_01510	16	11	4	42	83	39	62	44	142	59	155
NC101_01511	141	53	22	107	357	139	358	234	636	606	159
NC101_01512	4	0	0	4	26	8	12	6	15	15	48
NC101_01513	3	0	0	0	0	0	0	0	0	0	33
NC101_01514	5	0	0	0	7	4	3	8	13	8	21
NC101_01515	1	2	0	2	2	1	0	0	2	6	51
NC101_01516	0	0	0	0	6	4	0	0	2	0	279
NC101_01517	5	5	2	4	23	10	8	3	23	24	286
NC101_01518	3	0	0	2	4	0	1	2	4	8	90
NC101_01519	16	8	5	6	34	17	12	13	53	42	136
NC101_01520	4	1	1	2	23	2	24	23	25	48	39
NC101_01521	27	0	0	13	79	17	99	67	201	199	133
NC101_01522	47	19	8	14	107	25	84	55	178	128	122
NC101_01523	27	10	4	19	120	43	160	112	236	203	72
NC101_01524	23	6	6	18	83	23	130	66	203	139	60
NC101_01525	819	120	83	170	1344	368	1165	747	1205	1702	89
NC101_01526	342	62	47	68	673	144	589	388	820	1002	45
NC101_01527	338	44	37	53	612	169	446	292	569	841	41
NC101_01528	2576	569	354	520	3357	853	2979	2177	3921	4800	217
NC101_01529	468	82	48	139	1372	285	1214	971	1576	2197	109
NC101_01530	58	17	7	36	416	93	309	213	455	632	53
NC101_01531	10	0	1	2	21	14	64	29	69	76	18
NC101_01532	8	2	0	7	9	9	6	2	17	20	19
NC101_01533	0	0	0	0	0	2	4	1	8	9	10
NC101_01534	7	4	0	2	15	2	6	0	17	10	12
NC101_01535	1	0	0	0	1	4	1	2	3	3	28
NC101_01536	17	7	0	10	24	17	27	26	201	88	24
NC101_01537	152	67	16	112	199	88	40	21	127	44	5
NC101_01538	119	15	11	54	91	192	36	32	104	50	11
NC101_01540	24	18	2	26	211	17	38	22	182	79	31
NC101_01541	10	2	0	15	35	20	26	21	51	26	31
NC101_01542	2	0	0	0	8	4	2	0	9	8	17
NC101_01543	5	2	0	3	12	1	2	2	5	7	1
NC101_01544	2	0	0	2	9	4	4	0	11	10	21
NC101_01545	4	0	0	1	15	5	4	7	3	9	71
NC101_01546	0	0	0	1	5	0	2	2	6	5	48
NC101_01547	2	0	0	0	6	0	2	3	22	9	65
NC101_01548	0	0	0	0	6	1	0	0	4	2	17
NC101_01549	0	3	0	6	35	5	17	16	57	31	63
NC101_01550	9	0	0	7	21	10	82	18	41	60	86
NC101_01551	90	40	17	34	60	55	364	247	567	839	392
NC101_01552	17	11	7	52	54	50	210	111	307	428	286
NC101_01553	14	1	1	36	41	44	158	127	191	528	368
NC101_01554	5	4	3	2	28	25	231	147	275	738	496
NC101_01555	8	4	3	10	5	5	16	19	21	22	61
NC101_01556	10	2	3	11	28	21	17	18	29	26	168
NC101_01557	5	13	6	19	15	7	49	28	43	49	31
NC101_01558	1	0	0	0	0	0	0	0	0	1	0
NC101_01559	7	7	0	8	16	6	31	23	26	20	22
NC101_01560	69	41	20	74	125	29	106	85	88	96	140
NC101_01561	5	2	2	4	12	2	9	2	0	2	109
NC101_01562	6	4	2	9	198	56	71	28	116	86	47
NC101_01563	34	2	2	20	291	98	133	74	240	168	59
NC101_01564	3	0	0	11	199	42	78	45	170	97	21
NC101_01565	4	4	0	2	20	2	14	8	49	21	22
NC101_01566	13	13	5	27	79	15	16	8	59	33	39
NC101_01567	0	2	0	0	5	0	2	0	4	1	22
NC101_01568	11	1	0	4	48	5	22	16	60	39	32
NC101_01569	4	6	0	10	34	14	32	48	89	63	26
NC101_01570	25	9	5	20	62	28	46	25	49	30	78
NC101_01571	43	7	4	47	58	25	23	25	68	58	17
NC101_01572	40	14	0	13	88	19	23	7	46	49	14
NC101_01573	14	4	0	19	56	15	14	18	37	38	42
NC101_01574	6	12	0	6	57	5	51	35	52	67	40
NC101_01575	457	98	62	213	331	227	175	146	416	249	27
NC101_01576	17	2	2	2	4	0	19	22	31	21	18
NC101_01577	318	97	66	330	292	242	74	179	128	222	32
NC101_01578	3	1	0	7	18	4	5	5	11	10	18
NC101_01579	0	0	0	1	2	0	1	0	1	1	5
NC101_01580	1	2	2	0	6	0	16	10	19	98	20
NC101_01581	14	0	0	6	26	12	73	21	137	337	8
NC101_01582	1	0	0	0	3	0	7	4	19	59	9
NC101_01583	33	7	2	18	79	15	75	36	116	148	41
NC101_01584	27	12	4	16	61	44	39	29	95	126	49
NC101_01585	21	4	0	23	33	30	32	13	64	41	25
NC101_01586	77	11	5	12	153	47	26	35	231	117	51
NC101_01587	5	5	0	3	11	6	13	5	19	13	14
NC101_01588	52	32	7	62	280	77	168	77	230	200	142
NC101_01589	0	0	0	1	0	0	1	3	0	1	62
NC101_01590	4	4	4	14	21	16	2	1	2	5	25
NC101_01591	19	5	1	9	47	16	20	19	42	41	15
NC101_01592	15	2	0	4	53	12	49	26	100	60	19
NC101_01593	4	3	0	7	24	5	5	3	13	11	8
NC101_01594	16	6	2	9	27	18	14	8	29	17	2
NC101_01595	79	29	11	73	120	83	39	31	111	57	4
NC101_01596	3	7	1	3	20	10	10	3	14	6	5
NC101_01597	68	16	10	48	116	62	96	67	183	100	41
NC101_01598	99	22	10	54	267	82	155	100	237	185	61
NC101_01599	40	21	6	26	117	46	82	49	146	95	16
NC101_01600	5	5	1	0	27	10	6	2	17	16	4
NC101_01601	7	0	0	6	10	12	5	5	4	4	1
NC101_01602	16	6	0	8	20	9	8	4	7	2	4
NC101_01603	32	3	1	5	79	35	42	26	60	72	62
NC101_01604	3	2	0	3	11	4	9	2	5	9	10
NC101_01605	0	1	0	2	6	3	4	0	0	2	8
NC101_01606	5	1	2	7	12	4	6	7	16	11	15
NC101_01607	4	0	0	1	2	1	0	0	7	2	9
NC101_01608	1	0	0	0	0	1	2	1	0	3	1
NC101_01609	4	0	0	3	6	1	4	1	9	5	11
NC101_01610	9	0	2	2	31	4	52	16	55	21	20
NC101_01611	0	0	0	0	0	0	0	2	0	0	1
NC101_01612	0	0	0	2	4	0	1	0	2	0	0
NC101_01613	2	5	0	11	5	7	2	6	14	5	7
NC101_01614	2	0	0	1	0	0	0	1	7	1	2
NC101_01615	19	20	2	20	88	20	82	37	153	109	62
NC101_01617	92	46	7	47	297	71	222	118	253	245	152
NC101_01618	79	29	8	45	398	90	260	129	278	275	152
NC101_01619	11	4	1	5	22	9	55	40	39	72	152
NC101_01620	104	18	17	75	154	103	606	437	843	731	79
NC101_01621	177	47	18	104	270	207	228	134	361	296	102
NC101_01622	41	10	2	33	163	36	442	128	326	344	82
NC101_01623	192	30	21	110	678	227	642	445	1295	1233	354
NC101_01624	10	1	0	2	25	5	35	13	47	47	99
NC101_01625	5	1	0	3	5	0	19	5	12	22	283
NC101_01626	0	3	0	1	16	8	18	7	18	19	255
NC101_01627	3	2	2	15	31	5	9	7	34	31	269
NC101_01628	22	26	2	60	48	34	21	28	58	73	156
NC101_01629	24	12	10	29	76	34	62	46	101	56	156
NC101_01630	9	2	0	0	13	5	25	2	50	30	354
NC101_01631	51	25	15	46	97	59	83	40	179	81	537
NC101_01632	10	10	3	16	31	3	13	9	25	26	358
NC101_01633	6	4	2	3	32	9	19	13	21	25	73
NC101_01634	12	11	4	9	18	8	36	23	33	15	982
NC101_01635	6	1	0	2	27	7	46	14	33	49	545
NC101_01636	1	0	0	0	2	2	0	0	4	4	153
NC101_01637	2	0	0	2	4	2	1	0	5	6	87
NC101_01638	0	0	0	3	2	2	2	0	6	1	73
NC101_01639	10	4	2	2	25	14	5	2	24	9	55
NC101_01640	0	0	0	1	0	1	0	0	0	2	15
NC101_01641	0	0	0	0	3	1	2	1	5	3	12
NC101_01642	25	11	1	21	60	20	12	11	25	23	47
NC101_01643	5	2	0	4	8	4	9	2	17	22	52
NC101_01644	7	3	9	10	29	25	13	17	87	124	67
NC101_01645	2	0	0	1	2	0	3	0	14	8	12
NC101_01646	16	2	0	5	6	3	4	4	2	12	27
NC101_01647	11	4	0	10	20	15	14	13	67	31	21
NC101_01648	0	0	0	0	5	3	5	2	8	2	10
NC101_01649	4	0	4	2	4	3	6	2	4	6	21
NC101_01650	0	0	3	2	2	3	0	0	2	6	2
NC101_01651	2	0	0	1	14	3	2	6	2	7	17
NC101_01652	1	0	0	2	4	2	6	3	12	10	4
NC101_01653	7	2	2	3	16	11	2	5	10	13	22
NC101_01654	0	0	0	0	2	0	4	0	0	2	4
NC101_01655	4	0	0	2	6	2	2	2	5	2	12
NC101_01656	0	2	0	4	18	4	19	11	15	23	4
NC101_01657	0	3	1	0	12	2	9	3	10	5	18
NC101_01658	2	0	0	0	2	0	2	0	2	3	10
NC101_01659	0	0	0	2	7	2	11	1	6	4	12
NC101_01660	5	1	0	8	29	9	16	12	29	11	29
NC101_01661	3	4	2	2	14	11	11	6	9	13	110
NC101_01662	0	0	0	0	12	2	4	5	6	4	82
NC101_01663	3	1	0	2	12	0	6	0	6	15	117
NC101_01664	0	0	0	2	0	0	1	0	2	1	6
NC101_01665	0	2	0	0	0	0	0	0	0	1	7
NC101_01666	2	0	0	0	3	2	3	3	5	3	13
NC101_01667	2	0	0	0	9	6	7	1	4	8	1
NC101_01668	6	0	0	0	13	0	2	3	3	6	11
NC101_01669	0	0	0	2	9	1	0	0	4	2	4
NC101_01670	0	0	0	0	1	0	0	0	0	2	2
NC101_01671	0	2	0	0	5	0	3	2	3	6	6
NC101_01672	5	2	0	3	4	0	0	3	14	8	6
NC101_01673	2	0	0	0	12	4	3	3	7	7	1
NC101_01674	5	0	0	4	2	1	2	2	16	4	5
NC101_01675	2	1	0	0	3	3	0	0	0	0	3
NC101_01676	4	2	0	1	8	0	2	0	6	1	2
NC101_01677	0	2	0	0	3	0	2	0	3	2	9
NC101_01678	6	2	0	2	17	12	14	7	22	15	13
NC101_01679	29	4	8	29	55	34	32	44	99	57	8
NC101_01680	14	0	1	5	18	9	19	7	36	17	6
NC101_01681	26	7	1	44	245	46	231	128	307	327	29
NC101_01682	21	9	0	9	100	20	56	43	111	76	10
NC101_01683	119	32	22	46	332	69	374	149	566	424	40
NC101_01684	671	258	82	174	74	197	255	274	3611	1424	64
NC101_01685	412	139	54	81	809	252	323	129	359	455	21
NC101_01686	48	4	0	28	180	60	94	78	207	165	29
NC101_01687	0	0	0	0	10	1	5	6	8	7	9
NC101_01688	3	0	0	0	11	3	1	5	15	9	22
NC101_01689	0	0	0	2	1	1	4	2	5	8	34
NC101_01690	4	0	0	1	3	0	3	0	3	5	15
NC101_01691	26	5	4	16	63	41	41	30	86	61	68
NC101_01692	2	2	0	0	4	2	6	2	4	1	16
NC101_01693	0	0	0	0	3	2	2	0	2	5	7
NC101_01694	4	2	0	0	0	0	0	0	2	2	23
NC101_01695	12	0	0	7	16	8	6	0	13	8	38
NC101_01696	6	4	1	3	19	8	10	4	13	19	10
NC101_01697	0	0	0	0	4	0	0	0	6	0	2
NC101_01698	28	7	0	10	20	9	20	4	51	21	12
NC101_01699	6	4	0	5	27	12	20	17	49	32	11
NC101_01700	0	0	2	2	19	9	11	5	23	12	21
NC101_01701	8	1	0	3	11	8	14	18	13	14	13
NC101_01702	41	11	4	31	123	75	93	57	174	145	30
NC101_01703	11	2	2	4	26	5	10	16	22	26	16
NC101_01704	3	0	0	2	9	0	7	11	8	2	11
